label,current_code,gdate,hdate,notes
10-H1-C-R9-,CLPU,,,
11-H1-C-R9-,ERCI,,,
12-H1-C-R9-,EUSP,,,
13-H1-C-R9-,FEMI,,,
14-H1-C-R9-,HECO,,,
15-H1-C-R9-,HOMU,,,
16-H1-C-R9-,LACA,,,
17-H1-C-R9-,MEPO,,,
18-H1-C-R9-,MICA,,,
19-H1-C-R9-,NAAT,,,
20-H1-C-R9-,PLER,,,
21-H1-C-R9-,SACO,,,
22-H1-C-R9-,SIGA,,,
23-H1-C-R9-,URLI,,,
01-H2-C-R9-,ACAM,,,
02-H2-C-R9-,ACWR,,,
03-H2-C-R9-,AMME,,,
04-H2-C-R9-,ANAR,,,
05-H2-C-R9-,BRMA,,,
06-H2-C-R9-,CEME,,,
07-H2-C-R9-,CHGL,,,
08-H2-C-R9-,CHPA,,,
09-H2-C-R9-,CLBO,,,
10-H2-C-R9-,CLPU,,,
11-H2-C-R9-,ERCI,,,
12-H2-C-R9-,EUSP,,,
13-H2-C-R9-,FEMI,,,
14-H2-C-R9-,HECO,,,
15-H2-C-R9-,HOMU,,,
16-H2-C-R9-,LACA,,,
17-H2-C-R9-,MEPO,,,
18-H2-C-R9-,MICA,,,
19-H2-C-R9-,NAAT,,,
20-H2-C-R9-,PLER,,,
21-H2-C-R9-,SACO,,,
22-H2-C-R9-,SIGA,,,
23-H2-C-R9-,URLI,,,
01-H3-C-R9-,ACAM,,,
02-H3-C-R9-,ACWR,,,
03-H3-C-R9-,AMME,,,
04-H3-C-R9-,ANAR,,,
05-H3-C-R9-,BRMA,,,
06-H3-C-R9-,CEME,,,
07-H3-C-R9-,CHGL,,,
08-H3-C-R9-,CHPA,,,
09-H3-C-R9-,CLBO,,,
10-H3-C-R9-,CLPU,,,
11-H3-C-R9-,ERCI,,,
12-H3-C-R9-,EUSP,,,
13-H3-C-R9-,FEMI,,,
14-H3-C-R9-,HECO,,,
15-H3-C-R9-,HOMU,,,
16-H3-C-R9-,LACA,,,
17-H3-C-R9-,MEPO,,,
18-H3-C-R9-,MICA,,,
19-H3-C-R9-,NAAT,,,
20-H3-C-R9-,PLER,,,
21-H3-C-R9-,SACO,,,
22-H3-C-R9-,SIGA,,,
23-H3-C-R9-,URLI,,,
01-H4-C-R9-,ACAM,,,
02-H4-C-R9-,ACWR,,,
03-H4-C-R9-,AMME,,,
04-H4-C-R9-,ANAR,,,
05-H4-C-R9-,BRMA,,,
06-H4-C-R9-,CEME,,,
07-H4-C-R9-,CHGL,,,
08-H4-C-R9-,CHPA,,,
09-H4-C-R9-,CLBO,,,
10-H4-C-R9-,CLPU,,,
11-H4-C-R9-,ERCI,,,
12-H4-C-R9-,EUSP,,,
13-H4-C-R9-,FEMI,,,
14-H4-C-R9-,HECO,,,
15-H4-C-R9-,HOMU,,,
16-H4-C-R9-,LACA,,,
17-H4-C-R9-,MEPO,,,
18-H4-C-R9-,MICA,,,
19-H4-C-R9-,NAAT,,,
20-H4-C-R9-,PLER,,,
21-H4-C-R9-,SACO,,,
22-H4-C-R9-,SIGA,,,
23-H4-C-R9-,URLI,,,
01-H1-C-R10-,ACAM,,,
02-H1-C-R10-,ACWR,,,
03-H1-C-R10-,AMME,,,
04-H1-C-R10-,ANAR,,,
05-H1-C-R10-,BRMA,,,
06-H1-C-R10-,CEME,,,
07-H1-C-R10-,CHGL,,,
08-H1-C-R10-,CHPA,,,
09-H1-C-R10-,CLBO,,,
10-H1-C-R10-,CLPU,,,
11-H1-C-R10-,ERCI,,,
12-H1-C-R10-,EUSP,,,
13-H1-C-R10-,FEMI,,,
14-H1-C-R10-,HECO,,,
15-H1-C-R10-,HOMU,,,
16-H1-C-R10-,LACA,,,
17-H1-C-R10-,MEPO,,,
18-H1-C-R10-,MICA,,,
19-H1-C-R10-,NAAT,,,
20-H1-C-R10-,PLER,,,
21-H1-C-R10-,SACO,,,
22-H1-C-R10-,SIGA,,,
23-H1-C-R10-,URLI,,,
01-H2-C-R10-,ACAM,,,
02-H2-C-R10-,ACWR,,,
03-H2-C-R10-,AMME,,,
04-H2-C-R10-,ANAR,,,
05-H2-C-R10-,BRMA,,,
06-H2-C-R10-,CEME,,,
07-H2-C-R10-,CHGL,,,
08-H2-C-R10-,CHPA,,,
09-H2-C-R10-,CLBO,,,
10-H2-C-R10-,CLPU,,,
11-H2-C-R10-,ERCI,,,
12-H2-C-R10-,EUSP,,,
13-H2-C-R10-,FEMI,,,
14-H2-C-R10-,HECO,,,
15-H2-C-R10-,HOMU,,,
16-H2-C-R10-,LACA,,,
17-H2-C-R10-,MEPO,,,
18-H2-C-R10-,MICA,,,
19-H2-C-R10-,NAAT,,,
20-H2-C-R10-,PLER,,,
21-H2-C-R10-,SACO,,,
22-H2-C-R10-,SIGA,,,
23-H2-C-R10-,URLI,,,
01-H3-C-R10-,ACAM,,,
02-H3-C-R10-,ACWR,,,
03-H3-C-R10-,AMME,,,
04-H3-C-R10-,ANAR,,,
05-H3-C-R10-,BRMA,,,
06-H3-C-R10-,CEME,,,
07-H3-C-R10-,CHGL,,,
08-H3-C-R10-,CHPA,,,
09-H3-C-R10-,CLBO,,,
10-H3-C-R10-,CLPU,,,
11-H3-C-R10-,ERCI,,,
12-H3-C-R10-,EUSP,,,
13-H3-C-R10-,FEMI,,,
14-H3-C-R10-,HECO,,,
15-H3-C-R10-,HOMU,,,
16-H3-C-R10-,LACA,,,
17-H3-C-R10-,MEPO,,,
18-H3-C-R10-,MICA,,,
19-H3-C-R10-,NAAT,,,
20-H3-C-R10-,PLER,,,
21-H3-C-R10-,SACO,,,
22-H3-C-R10-,SIGA,,,
23-H3-C-R10-,URLI,,,
01-H4-C-R10-,ACAM,,,
02-H4-C-R10-,ACWR,,,
03-H4-C-R10-,AMME,,,
04-H4-C-R10-,ANAR,,,
05-H4-C-R10-,BRMA,,,
06-H4-C-R10-,CEME,,,
07-H4-C-R10-,CHGL,,,
08-H4-C-R10-,CHPA,,,
09-H4-C-R10-,CLBO,,,
10-H4-C-R10-,CLPU,,,
11-H4-C-R10-,ERCI,,,
12-H4-C-R10-,EUSP,,,
13-H4-C-R10-,FEMI,,,
14-H4-C-R10-,HECO,,,
15-H4-C-R10-,HOMU,,,
16-H4-C-R10-,LACA,,,
17-H4-C-R10-,MEPO,,,
18-H4-C-R10-,MICA,,,
19-H4-C-R10-,NAAT,,,
20-H4-C-R10-,PLER,,,
21-H4-C-R10-,SACO,,,
22-H4-C-R10-,SIGA,,,
23-H4-C-R10-,URLI,,,
