label,current_code,gdate,hdate,notes
20-H4-C-R2-,PLER,,,
21-H4-C-R2-,SACO,,,
22-H4-C-R2-,SIGA,,,
23-H4-C-R2-,URLI,,,
01-H1-C-R3-,ACAM,,,
02-H1-C-R3-,ACWR,,,
03-H1-C-R3-,AMME,,,
04-H1-C-R3-,ANAR,,,
05-H1-C-R3-,BRMA,,,
06-H1-C-R3-,CEME,,,
07-H1-C-R3-,CHGL,,,
08-H1-C-R3-,CHPA,,,
09-H1-C-R3-,CLBO,,,
10-H1-C-R3-,CLPU,,,
11-H1-C-R3-,ERCI,,,
12-H1-C-R3-,EUSP,,,
13-H1-C-R3-,FEMI,,,
14-H1-C-R3-,HECO,,,
15-H1-C-R3-,HOMU,,,
16-H1-C-R3-,LACA,,,
17-H1-C-R3-,MEPO,,,
18-H1-C-R3-,MICA,,,
19-H1-C-R3-,NAAT,,,
20-H1-C-R3-,PLER,,,
21-H1-C-R3-,SACO,,,
22-H1-C-R3-,SIGA,,,
23-H1-C-R3-,URLI,,,
01-H2-C-R3-,ACAM,,,
02-H2-C-R3-,ACWR,,,
03-H2-C-R3-,AMME,,,
04-H2-C-R3-,ANAR,,,
05-H2-C-R3-,BRMA,,,
06-H2-C-R3-,CEME,,,
07-H2-C-R3-,CHGL,,,
08-H2-C-R3-,CHPA,,,
09-H2-C-R3-,CLBO,,,
10-H2-C-R3-,CLPU,,,
11-H2-C-R3-,ERCI,,,
12-H2-C-R3-,EUSP,,,
13-H2-C-R3-,FEMI,,,
14-H2-C-R3-,HECO,,,
15-H2-C-R3-,HOMU,,,
16-H2-C-R3-,LACA,,,
17-H2-C-R3-,MEPO,,,
18-H2-C-R3-,MICA,,,
19-H2-C-R3-,NAAT,,,
20-H2-C-R3-,PLER,,,
21-H2-C-R3-,SACO,,,
22-H2-C-R3-,SIGA,,,
23-H2-C-R3-,URLI,,,
01-H3-C-R3-,ACAM,,,
02-H3-C-R3-,ACWR,,,
03-H3-C-R3-,AMME,,,
04-H3-C-R3-,ANAR,,,
05-H3-C-R3-,BRMA,,,
06-H3-C-R3-,CEME,,,
07-H3-C-R3-,CHGL,,,
08-H3-C-R3-,CHPA,,,
09-H3-C-R3-,CLBO,,,
10-H3-C-R3-,CLPU,,,
11-H3-C-R3-,ERCI,,,
12-H3-C-R3-,EUSP,,,
13-H3-C-R3-,FEMI,,,
14-H3-C-R3-,HECO,,,
15-H3-C-R3-,HOMU,,,
16-H3-C-R3-,LACA,,,
17-H3-C-R3-,MEPO,,,
18-H3-C-R3-,MICA,,,
